task_id,resource_id,start_time,finish_time
2385,1,0,32
4395,2,0,16
3412,0,1,19
8559,2,16,59
6202,0,19,35
7681,1,32,79
3463,0,35,77
6468,2,59,68
9804,2,68,105
5546,0,77,104
9972,1,79,107
6879,0,104,137
4438,2,105,137
5047,1,107,131
8596,1,131,165
8099,0,137,168
2516,2,137,151
6178,2,151,186
7440,1,165,209
8538,0,168,210
8315,2,186,230
1220,1,209,247
9467,0,210,244
8167,2,230,257
3257,0,244,257
4167,1,247,264
5603,0,257,279
1413,2,257,301
6369,1,264,306
6855,0,279,294
2510,0,294,328
9628,2,301,344
8875,1,306,344
2700,0,328,371
8983,1,344,386
2366,2,344,352
399,2,352,391
5091,0,371,393
440,1,386,433
8245,2,391,402
6973,0,393,433
9161,2,402,416
635,2,416,453
9982,1,433,471
1283,0,433,465
3711,2,453,461
6027,2,461,482
4401,0,465,512
5571,1,471,517
6741,2,482,518
8979,0,512,519
1033,1,517,555
8519,2,518,541
911,0,519,539
4387,0,539,558
3236,2,541,556
5504,1,555,571
4110,2,556,595
9444,0,558,599
6615,1,571,609
4118,2,595,616
8490,0,599,642
7552,1,609,654
1610,2,616,636
6498,2,636,656
4280,0,642,677
8455,1,654,695
9339,2,656,697
9278,0,677,724
5600,1,695,743
4107,2,697,727
9817,0,724,757
5939,2,727,761
690,1,743,774
2990,0,757,788
3679,2,761,811
1873,1,774,802
3585,0,788,815
4920,1,802,822
1060,2,811,856
4865,0,815,828
7273,1,822,838
3111,0,828,874
4298,1,838,879
2661,2,856,884
8278,0,874,888
6124,1,879,914
6517,2,884,924
6137,0,888,911
6706,0,911,952
7138,1,914,955
9927,2,924,964
6752,0,952,963
8758,1,955,1001
8225,0,963,985
2483,2,964,1007
4616,0,985,1008
7714,1,1001,1024
4894,2,1007,1042
1597,0,1008,1052
8919,1,1024,1063
7741,2,1042,1081
1961,0,1052,1085
8189,1,1063,1091
2077,2,1081,1116
2883,0,1085,1122
8623,1,1091,1103
5876,1,1103,1130
1823,2,1116,1165
636,0,1122,1161
8800,1,1130,1144
8643,1,1144,1154
2896,1,1154,1184
1720,0,1161,1199
5827,2,1165,1215
6710,1,1184,1211
9356,0,1199,1228
2158,1,1211,1261
661,2,1215,1239
4326,0,1228,1266
2326,2,1239,1251
6200,2,1251,1270
5445,1,1261,1304
3069,0,1266,1308
2716,2,1270,1318
5575,1,1304,1340
734,0,1308,1356
3820,2,1318,1366
9368,1,1340,1369
2125,0,1356,1361
2672,0,1361,1394
7784,2,1366,1410
3589,1,1369,1391
9127,1,1391,1398
3464,0,1394,1433
4391,1,1398,1445
540,2,1410,1437
8548,0,1433,1471
2797,2,1437,1486
6272,1,1445,1485
9955,0,1471,1501
2801,1,1485,1533
8493,2,1486,1529
1617,0,1501,1549
1672,2,1529,1570
4840,1,1533,1565
3177,0,1549,1573
369,1,1565,1612
9010,2,1570,1620
6265,0,1573,1611
4324,0,1611,1620
463,1,1612,1646
1768,2,1620,1652
9232,0,1620,1655
6905,1,1646,1679
2252,2,1652,1700
161,0,1655,1699
7080,1,1679,1723
543,0,1699,1733
2743,2,1700,1720
789,2,1720,1757
4618,1,1723,1759
5374,0,1733,1759
2641,2,1757,1765
5518,0,1759,1764
4237,1,1759,1802
1268,0,1764,1813
711,2,1765,1815
4943,1,1802,1835
8353,0,1813,1852
5124,2,1815,1852
70,1,1835,1861
6634,2,1852,1886
9953,0,1852,1894
1093,1,1861,1899
50,2,1886,1936
6427,0,1894,1933
4721,1,1899,1937
8657,0,1933,1944
5653,2,1936,1978
9818,1,1937,1985
356,0,1944,1984
3831,2,1978,2027
7468,0,1984,2017
3496,1,1985,2020
6679,0,2017,2054
2470,1,2020,2050
7624,2,2027,2069
5036,1,2050,2100
7347,0,2054,2088
1196,2,2069,2083
6051,2,2083,2132
8487,0,2088,2120
5495,1,2100,2126
7829,0,2120,2137
5978,1,2126,2167
1628,2,2132,2176
2548,0,2137,2173
5868,1,2167,2204
4909,0,2173,2214
1657,2,2176,2221
760,1,2204,2238
4637,0,2214,2260
2388,2,2221,2232
270,2,2232,2281
2416,1,2238,2275
348,0,2260,2300
7192,1,2275,2314
272,2,2281,2303
8568,0,2300,2344
780,2,2303,2334
4964,1,2314,2334
3032,2,2334,2374
8951,1,2334,2371
809,0,2344,2372
