task_id,resource_id,start_time,finish_time
3,0,0,45
229,1,0,34
257,2,0,38
335,3,0,47
339,4,0,33
351,4,33,55
354,1,34,72
394,2,38,78
621,0,45,52
856,3,47,61
1284,0,52,102
1300,4,55,101
1348,3,61,71
1377,3,71,77
1448,1,72,91
1477,3,77,125
1532,2,78,106
1838,1,91,128
1964,4,101,132
2048,0,102,124
2153,2,106,146
2188,0,124,168
2219,3,125,172
2292,1,128,133
2295,4,132,167
2310,1,133,170
2383,2,146,161
2385,2,161,193
2589,4,167,189
2593,0,168,185
2595,1,170,188
2707,3,172,220
2759,0,185,224
3083,1,188,235
3169,4,189,238
3293,2,193,224
3351,3,220,258
3671,0,224,232
3681,2,224,274
3877,0,232,252
3929,1,235,242
4028,4,238,265
4199,1,242,265
4230,0,252,302
4258,3,258,293
4277,1,265,272
4327,4,265,294
4395,1,272,288
4663,2,274,287
4680,2,287,302
4838,1,288,314
5155,3,293,312
5200,4,294,334
5396,0,302,315
5403,2,302,318
5443,3,312,360
5530,1,314,350
5673,0,315,324
5776,2,318,324
5935,0,324,340
6147,2,324,356
6186,4,334,380
6206,0,340,384
6286,1,350,385
6295,2,356,371
6531,3,360,371
6577,2,371,401
6737,3,371,397
6985,4,380,426
7114,0,384,414
7265,1,385,390
7267,1,390,432
7351,3,397,403
7396,2,401,440
7402,3,403,428
7578,0,414,455
7681,4,426,473
7842,3,428,478
7937,1,432,443
7967,2,440,485
8498,1,443,457
8559,0,455,498
8735,1,457,468
8784,1,468,475
8935,4,473,483
8990,1,475,521
8996,3,478,515
9073,4,483,524
9270,2,485,503
9296,0,498,535
9363,2,503,535
9480,3,515,530
9522,1,521,571
9535,4,524,555
9555,3,530,564
9573,0,535,568
9623,2,535,561
9678,4,555,599
9696,2,561,585
9800,3,564,614
9803,0,568,576
9852,1,571,588
9972,0,576,604
10083,2,585,615
10137,1,588,602
10264,4,599,632
10378,1,602,625
10561,0,604,644
10819,3,614,629
10824,2,615,627
10849,1,625,637
10927,2,627,672
10935,3,629,667
11128,4,632,670
11183,1,637,643
11400,1,643,663
11505,0,644,672
11800,1,663,680
12066,3,667,713
12216,4,670,713
12231,0,672,686
12471,2,672,679
12496,2,679,693
12521,1,680,730
12671,0,686,715
12709,2,693,718
12751,3,713,729
12901,4,713,721
12919,0,715,732
12934,2,718,751
13021,4,721,766
13045,3,729,762
13059,1,730,739
13283,0,732,758
13289,1,739,771
13451,2,751,768
13468,0,758,776
13486,3,762,771
13668,4,766,814
13741,2,768,804
13927,1,771,810
14001,3,771,780
14002,0,776,815
14173,3,780,830
14255,2,804,816
14299,1,810,828
14471,4,814,823
14526,0,815,848
14588,2,816,862
14591,4,823,842
14703,1,828,867
14728,3,830,847
15028,4,842,873
15088,3,847,870
15463,0,848,893
15554,2,862,883
15629,1,867,915
15727,3,870,897
15735,4,873,893
15911,2,883,907
15990,0,893,900
16030,4,893,907
16073,3,897,919
16098,0,900,915
16219,2,907,951
16242,4,907,948
16262,0,915,949
16385,1,915,965
16470,3,919,945
16473,3,945,977
16855,4,948,960
16880,0,949,985
17004,2,951,984
17021,4,960,979
17034,1,965,995
17162,3,977,1010
17166,4,979,984
17179,2,984,1005
17188,4,984,997
17409,0,985,1003
17427,1,995,1000
17430,4,997,1007
17432,1,1000,1050
17743,0,1003,1053
17894,2,1005,1028
17896,4,1007,1054
17915,3,1010,1028
17978,2,1028,1045
18050,3,1028,1039
18244,3,1039,1050
18321,2,1045,1062
18655,1,1050,1072
18909,3,1050,1095
19021,0,1053,1092
19040,4,1054,1089
19144,2,1062,1067
19151,2,1067,1081
19161,1,1072,1122
19376,2,1081,1118
19382,4,1089,1123
19415,0,1092,1129
19426,3,1095,1124
19494,2,1118,1158
19669,1,1122,1150
19697,4,1123,1161
19885,3,1124,1172
19941,0,1129,1166
19953,1,1150,1200
20107,2,1158,1172
20190,4,1161,1168
20223,0,1166,1207
20311,4,1168,1205
20368,2,1172,1201
20408,3,1172,1186
20419,3,1186,1220
20468,1,1200,1222
20552,2,1201,1209
20606,4,1205,1233
20951,0,1207,1244
21018,2,1209,1250
21204,3,1220,1237
21441,1,1222,1233
21468,1,1233,1246
21522,4,1233,1277
21565,3,1237,1272
21745,0,1244,1259
21798,1,1246,1278
21871,2,1250,1255
22155,2,1255,1280
22169,0,1259,1304
22172,3,1272,1293
22231,4,1277,1319
22299,1,1278,1286
22461,2,1280,1306
22481,1,1286,1298
22559,3,1293,1303
22665,1,1298,1327
22675,3,1303,1323
22711,0,1304,1328
22824,2,1306,1344
22993,4,1319,1352
23019,3,1323,1340
23025,1,1327,1373
23127,0,1328,1349
23129,3,1340,1388
23203,2,1344,1350
23287,0,1349,1372
23313,2,1350,1382
23337,4,1352,1358
23455,4,1358,1403
23461,0,1372,1411
23477,1,1373,1418
23488,2,1382,1407
23553,3,1388,1435
23601,4,1403,1443
23609,2,1407,1416
23641,0,1411,1437
23691,2,1416,1459
23826,1,1418,1459
23924,3,1435,1445
24251,0,1437,1462
24304,4,1443,1473
24339,3,1445,1469
24384,1,1459,1472
24473,2,1459,1482
24561,0,1462,1492
24602,3,1469,1515
24652,1,1472,1518
24676,4,1473,1507
24699,2,1482,1510
24703,0,1492,1513
24736,4,1507,1530
24876,2,1510,1518
24981,0,1513,1526
25017,3,1515,1536
25166,1,1518,1539
25260,2,1518,1529
25274,0,1526,1570
25348,2,1529,1574
25504,4,1530,1540
25600,3,1536,1584
25757,1,1539,1555
25865,4,1540,1554
25956,4,1554,1573
25972,1,1555,1581
