task_id,resource_id,start_time,finish_time
26,4,1,43
10,3,9,56
1,1,11,42
36,0,17,40
4,2,18,36
33,2,36,41
43,0,40,53
20,2,41,53
3,1,42,81
2,4,43,77
11,0,53,64
40,2,53,74
7,3,56,87
27,0,64,89
13,2,74,88
8,4,77,112
6,1,81,130
12,3,87,95
44,2,88,103
46,0,89,107
25,3,95,123
31,2,103,123
17,0,107,116
22,4,112,138
32,0,116,129
18,3,123,130
30,2,123,128
28,2,128,135
23,0,129,155
48,3,130,143
15,1,130,141
19,2,135,156
35,4,138,149
16,1,141,169
38,3,143,188
42,4,149,196
37,0,155,184
39,2,156,172
50,1,169,189
41,2,172,215
49,0,184,234
14,3,188,216
9,1,189,230
47,4,196,241
24,2,215,263
21,1,230,265
5,0,234,262
29,4,241,286
45,0,262,310
34,2,263,276
