task_id,arrival_time,execution_time,deadline,priority,resource_1,resource_2,resource_3
3,0,45,190,3,2,4,7
229,0,34,76,1,10,7,5
257,0,38,57,5,4,7,4
335,0,47,185,1,10,2,7
339,0,33,192,5,6,7,3
351,0,22,100,2,3,1,3
354,0,38,120,1,9,7,4
394,0,40,72,5,6,7,1
621,0,7,171,5,7,2,5
856,0,14,143,2,8,9,10
1284,0,50,162,2,6,9,1
1300,0,46,155,1,10,3,4
1348,0,10,95,4,4,2,4
1377,0,6,168,2,8,5,3
1448,0,19,84,5,3,6,6
1477,0,48,111,1,2,4,5
1532,0,28,100,3,4,8,6
1838,0,37,197,5,5,7,9
1964,0,31,164,4,5,1,10
2048,0,22,102,2,6,1,5
2153,0,40,100,5,5,5,5
2188,0,44,78,5,5,1,6
2219,0,47,197,3,4,5,3
2292,0,5,92,3,5,7,8
2295,0,35,122,1,4,6,5
2310,0,37,156,4,5,7,6
2383,0,15,99,2,1,9,8
2385,0,32,141,3,4,7,3
2589,0,22,144,5,1,1,1
2593,0,17,42,5,1,4,7
2595,0,18,67,3,1,4,9
2707,0,48,66,2,9,5,3
2759,0,39,199,4,5,8,2
3083,0,47,101,3,6,1,8
3169,0,49,169,4,2,1,5
3293,0,31,66,1,1,3,9
3351,0,38,49,3,2,4,2
3671,0,8,183,3,9,4,9
3681,0,50,152,1,4,2,2
3877,0,20,44,2,4,5,7
3929,0,7,190,3,10,6,8
4028,0,27,152,5,2,3,3
4199,0,23,69,5,8,9,8
4230,0,50,139,4,3,8,2
4258,0,35,175,1,7,6,8
4277,0,7,174,2,4,6,10
4327,0,29,162,1,1,2,2
4395,0,16,197,4,8,5,1
4663,0,13,67,3,3,8,6
4680,0,15,198,1,9,6,9
4838,0,26,199,2,9,2,6
5155,0,19,66,1,10,6,3
5200,0,40,67,1,5,8,9
5396,0,13,90,2,1,10,3
5403,0,16,94,1,9,9,2
5443,0,48,144,4,4,8,7
5530,0,36,53,3,5,9,10
5673,0,9,72,5,1,5,3
5776,0,6,187,2,6,4,7
5935,0,16,110,5,2,2,8
6147,0,32,75,4,9,7,1
6186,0,46,144,3,6,7,3
6206,0,44,70,4,9,4,6
6286,0,35,160,1,2,10,1
6295,0,15,150,1,8,8,2
6531,0,11,99,4,9,3,9
6577,0,30,90,2,9,10,8
6737,0,26,124,2,3,7,3
6985,0,46,129,1,1,5,7
7114,0,30,53,3,10,3,1
7265,0,5,15,4,3,1,1
7267,0,42,124,1,4,3,5
7351,0,6,120,3,10,10,1
7396,0,39,87,1,2,8,1
7402,0,25,164,2,5,3,4
7578,0,41,142,2,10,3,9
7681,0,47,192,2,4,1,5
7842,0,50,177,5,6,3,5
7937,0,11,189,4,6,2,1
7967,0,45,103,4,10,5,7
8498,0,14,27,3,3,3,1
8559,0,43,174,3,5,3,9
8735,0,11,93,2,8,9,8
8784,0,7,128,2,2,10,1
8935,0,10,194,4,1,5,2
8990,0,46,170,4,5,8,8
8996,0,37,105,3,4,8,10
9073,0,41,162,4,10,1,4
9270,0,18,153,2,4,4,1
9296,0,37,73,2,10,5,5
9363,0,32,135,2,9,1,3
9480,0,15,162,2,8,1,3
9522,0,50,142,1,10,7,10
9535,0,31,161,3,10,3,2
9555,0,34,48,3,5,3,1
9573,0,33,162,5,5,4,7
9623,0,26,47,1,5,8,10
9678,0,44,179,5,6,6,4
9696,0,24,87,4,3,3,4
9800,0,50,75,1,8,1,8
9803,0,8,73,4,9,6,10
9852,0,17,55,5,5,2,6
9972,0,28,158,1,3,5,2
35,1,18,51,1,5,7,5
217,1,45,127,2,3,1,7
223,1,32,153,3,2,4,3
234,1,7,112,4,1,6,5
271,1,17,144,5,2,4,9
577,1,41,145,4,1,6,3
756,1,22,138,2,6,10,6
788,1,20,129,5,1,6,6
851,1,40,132,4,4,4,4
1026,1,48,112,3,10,2,7
1096,1,47,108,4,7,2,1
1203,1,39,138,4,5,10,7
1236,1,27,106,4,9,10,7
1335,1,36,123,5,4,5,5
1437,1,29,145,4,6,5,10
1444,1,41,76,4,3,3,1
1561,1,12,189,5,8,1,5
1564,1,28,78,1,9,3,4
1648,1,14,166,2,2,5,5
1671,1,21,186,1,10,2,5
1674,1,32,127,1,3,2,5
1746,1,39,100,1,6,9,5
1830,1,15,125,1,2,2,6
2003,1,48,68,2,1,10,6
2165,1,17,116,5,1,2,8
2209,1,21,109,3,2,8,5
2389,1,10,56,4,8,4,6
2409,1,14,78,5,3,4,8
2523,1,34,125,4,5,8,6
2832,1,28,119,5,5,10,6
3018,1,50,132,3,2,10,6
3156,1,14,100,2,10,6,10
3289,1,16,163,1,7,5,4
3312,1,27,109,2,6,4,9
3412,1,18,137,5,6,2,9
3484,1,20,86,5,3,7,10
3660,1,43,109,4,6,10,10
3668,1,36,75,3,8,3,3
3858,1,34,96,4,1,7,2
3964,1,43,128,5,10,1,10
3969,1,31,125,4,4,4,2
4119,1,43,181,1,7,10,2
4231,1,29,139,3,6,10,6
4339,1,5,154,1,10,3,4
4603,1,13,142,1,10,6,9
4949,1,22,44,5,10,2,5
4962,1,43,75,3,3,5,9
5070,1,30,53,1,5,5,9
5143,1,27,74,1,10,10,8
5234,1,21,102,5,5,7,3
5241,1,11,117,4,10,6,1
5392,1,46,178,1,6,1,4
5423,1,18,148,5,10,2,1
5800,1,21,50,2,6,1,9
5943,1,36,90,4,6,6,10
6212,1,22,165,1,2,7,7
6335,1,11,174,3,4,8,7
6374,1,26,130,5,10,10,2
6510,1,27,128,2,7,4,1
6548,1,15,123,4,6,7,10
6635,1,11,72,2,5,3,6
6642,1,12,41,2,1,7,8
6785,1,18,72,2,1,2,5
6799,1,39,155,4,6,4,6
6880,1,25,110,5,6,2,1
6881,1,14,165,1,4,4,8
6921,1,20,116,2,5,8,2
7004,1,50,117,1,3,4,8
7232,1,8,183,2,6,10,5
7276,1,13,121,4,1,8,9
7370,1,30,178,2,2,9,4
7626,1,42,67,2,6,5,5
7647,1,23,152,2,9,2,10
7658,1,48,119,2,9,5,4
7753,1,12,63,1,8,3,3
7759,1,35,106,2,4,7,4
7818,1,38,185,2,6,6,5
8241,1,30,90,4,5,8,7
8374,1,37,139,2,4,7,10
8392,1,11,45,4,1,8,6
8450,1,50,93,2,9,10,10
8512,1,13,71,1,2,10,8
8629,1,26,172,4,5,2,1
8738,1,28,45,1,9,7,8
8770,1,24,80,1,6,6,6
8878,1,24,96,5,8,2,10
8895,1,34,63,1,8,5,1
8900,1,14,39,3,3,3,7
9007,1,28,170,2,1,9,6
9205,1,23,122,1,4,8,2
9346,1,27,63,5,8,2,10
