task_id,arrival_time,execution_time,deadline,priority,resource_1,resource_2,resource_3
8,0,27,191,4,6,5,3
12,17,47,196,4,6,10,4
13,19,14,132,5,2,6,1
19,20,13,189,5,2,10,6
3,22,6,166,3,4,3,10
7,29,42,91,5,2,7,6
16,29,46,188,4,4,3,5
1,31,42,224,5,8,10,8
6,44,50,152,1,2,1,3
9,49,6,68,4,7,8,2
5,52,15,229,2,1,6,9
14,52,25,151,2,7,2,1
2,54,47,140,5,4,3,5
4,55,17,228,3,3,6,5
20,55,14,102,1,5,6,6
11,59,5,180,5,7,4,2
15,74,29,217,2,9,3,2
17,83,37,259,5,3,3,6
18,85,12,193,3,7,9,3
10,89,38,186,2,1,6,10
