task_id,arrival_time,execution_time,deadline,priority,resource_1,resource_2,resource_3
109,0,10,39,1,3,3,8
114,0,11,165,4,3,8,4
181,0,18,162,2,10,9,7
209,0,16,190,4,4,3,5
312,0,33,128,5,8,4,8
392,0,14,98,3,1,2,6
418,0,23,173,5,1,6,9
528,0,38,113,3,3,7,7
582,0,11,183,5,3,6,7
598,0,43,187,3,10,2,6
335,1,43,157,4,4,8,8
372,1,30,139,5,1,4,4
409,1,26,85,4,1,4,2
457,1,43,177,4,7,3,7
462,1,38,122,3,5,6,7
573,1,22,132,1,3,2,2
586,1,40,123,4,7,5,3
634,1,20,121,2,9,4,8
642,1,29,193,5,2,7,7
915,1,31,94,2,4,1,6
925,1,22,42,4,1,7,1
27,2,38,77,2,1,9,2
65,2,15,102,4,10,6,4
207,2,38,144,1,4,5,8
472,2,37,162,2,8,3,8
588,2,44,174,2,5,1,9
647,2,24,65,1,8,8,4
653,2,38,133,3,5,4,10
700,2,22,38,2,6,4,8
944,2,49,193,3,8,5,7
59,3,40,109,5,8,1,4
71,3,9,58,3,7,10,10
379,3,40,55,3,2,7,10
476,3,17,188,4,4,6,8
502,3,25,61,5,3,4,3
527,3,44,126,5,5,4,5
602,3,12,109,4,2,8,6
743,3,23,92,2,6,10,8
785,3,8,93,5,10,1,6
927,3,35,94,5,4,6,2
998,3,37,89,2,9,1,4
26,4,37,135,2,8,6,6
87,4,42,192,2,7,1,2
99,4,44,59,4,6,7,10
102,4,35,60,5,3,10,9
165,4,34,50,1,5,8,6
229,4,14,129,5,1,7,2
247,4,23,180,4,8,8,2
307,4,24,46,4,3,6,3
329,4,23,63,3,6,4,8
768,4,50,130,4,5,9,5
812,4,18,114,1,8,3,1
135,5,23,190,5,9,2,7
182,5,40,102,5,6,10,7
475,5,10,86,5,10,9,6
491,5,7,108,2,1,3,9
525,5,11,139,1,5,10,3
562,5,16,202,3,5,8,2
630,5,19,124,5,4,10,4
649,5,10,31,3,8,3,10
669,5,43,173,5,3,8,9
684,5,31,78,4,1,7,7
689,5,10,72,1,4,7,7
696,5,23,101,2,1,2,5
735,5,12,30,4,9,8,9
928,5,35,77,5,3,3,8
10,6,43,99,5,5,8,10
193,6,17,59,4,5,9,2
205,6,14,142,5,4,9,5
568,6,14,186,3,8,7,10
802,6,49,129,2,4,7,4
16,7,23,157,3,8,7,4
201,7,25,115,5,9,9,9
339,7,35,75,5,8,1,9
466,7,5,204,1,9,2,9
574,7,17,188,1,6,5,10
579,7,9,93,3,10,4,2
781,7,45,160,4,10,6,5
907,7,26,143,4,7,10,8
959,7,16,39,2,10,1,2
960,7,10,170,2,6,6,10
53,8,12,53,5,1,3,6
596,8,21,208,3,2,2,3
600,8,5,23,2,6,7,1
726,8,7,143,1,10,7,6
741,8,36,63,1,3,5,6
745,8,28,50,5,5,8,4
836,8,30,136,1,6,6,8
902,8,12,122,1,4,3,8
979,8,18,164,2,4,5,9
206,9,31,165,1,10,6,6
243,9,41,121,1,1,3,4
373,9,19,134,4,5,10,9
450,9,23,107,4,1,7,4
474,9,27,181,2,1,7,6
539,9,43,103,3,1,2,9
560,9,15,79,3,2,6,7
704,9,17,118,2,7,3,8
772,9,38,113,4,7,2,3
856,9,16,45,2,8,3,8
875,9,46,197,3,4,10,9
911,9,7,134,5,7,2,1
69,10,9,73,5,4,7,3
108,10,11,104,2,7,6,2
154,10,19,97,3,2,5,2
434,10,33,173,2,5,9,3
443,10,41,184,5,10,1,5
467,10,9,160,2,5,2,7
651,10,13,93,2,4,3,2
674,10,36,126,1,8,4,5
835,10,46,183,5,7,9,1
859,10,10,79,1,7,1,7
972,10,40,194,1,1,6,3
50,11,8,92,5,7,7,7
52,11,7,117,1,4,8,1
192,11,26,187,5,6,9,9
242,11,16,138,5,3,8,8
256,11,13,154,2,7,1,8
295,11,28,115,5,3,3,7
305,11,8,106,3,10,1,9
546,11,48,100,5,4,6,4
732,11,42,161,2,5,2,8
821,11,12,175,2,2,6,6
833,11,9,207,3,5,3,5
905,11,26,166,5,6,7,1
117,12,50,87,2,1,10,4
518,12,29,197,1,4,9,9
638,12,35,140,5,4,2,10
702,12,40,187,1,10,9,4
714,12,37,167,5,1,10,2
751,12,33,136,3,3,6,2
58,13,6,178,1,8,6,5
61,13,14,44,5,2,3,4
170,13,38,172,1,2,10,3
273,13,7,72,3,10,7,1
356,13,28,118,2,9,4,1
376,13,10,94,5,10,2,2
709,13,7,166,1,3,3,3
955,13,27,66,1,1,9,6
68,14,5,71,5,8,8,6
139,14,11,85,5,3,8,5
251,14,28,68,3,7,7,3
489,14,40,70,5,9,3,9
581,14,35,153,1,3,2,3
613,14,5,127,1,9,5,10
652,14,26,192,1,1,4,2
690,14,31,134,5,3,3,7
993,14,45,194,2,8,5,3
996,14,12,158,3,5,5,4
142,15,19,180,4,1,1,5
314,15,44,190,3,2,7,2
458,15,5,102,1,6,8,8
480,15,12,212,2,7,4,6
520,15,29,92,1,1,8,8
707,15,47,201,3,2,5,10
708,15,43,165,5,5,10,1
715,15,48,195,2,10,10,1
810,15,9,113,4,1,4,2
893,15,40,184,2,2,6,5
62,16,11,204,2,1,8,7
113,16,47,122,3,8,5,6
216,16,27,156,1,9,2,1
233,16,29,148,3,10,7,1
309,16,50,138,1,3,4,9
432,16,23,186,5,3,4,6
517,16,9,59,2,9,9,10
612,16,42,94,5,6,2,8
747,16,15,61,1,5,9,7
867,16,35,90,5,10,7,6
917,16,35,196,1,4,6,7
919,16,44,190,1,7,9,1
938,16,31,112,1,7,6,9
46,17,23,110,5,3,8,5
324,17,50,176,5,1,6,5
375,17,7,72,2,10,9,10
463,17,36,140,2,5,6,6
614,17,31,103,3,2,8,6
852,17,35,65,5,10,6,7
909,17,17,49,3,10,9,1
73,18,42,87,1,7,5,10
129,18,49,170,5,5,8,8
140,18,22,78,5,9,8,10
545,18,19,49,4,5,5,1
643,18,16,55,3,1,8,6
659,18,38,92,3,1,4,5
716,18,25,142,1,2,7,5
780,18,29,145,3,2,6,1
834,18,7,83,2,5,10,10
89,19,13,216,1,3,5,9
238,19,39,155,4,2,6,10
297,19,9,112,5,2,9,7
333,19,24,117,3,8,8,10
421,19,22,111,2,8,8,8
429,19,25,217,3,9,10,4
471,19,37,79,1,3,8,5
571,19,46,206,4,7,1,6
641,19,37,174,2,2,2,10
723,19,42,139,2,9,1,5
746,19,25,83,1,3,7,1
800,19,13,43,4,4,8,7
844,19,40,165,3,3,3,7
873,19,47,142,2,1,1,3
874,19,44,180,2,5,5,8
30,20,46,189,3,9,3,6
178,20,30,207,2,6,5,5
328,20,49,201,2,4,2,2
498,20,22,75,4,10,9,1
547,20,39,112,5,6,10,3
549,20,26,83,5,4,10,3
778,20,43,157,1,3,4,1
922,20,32,125,5,10,8,6
976,20,42,182,1,1,4,3
132,21,9,96,5,9,4,9
146,21,8,43,4,7,1,1
371,21,30,66,4,8,10,5
578,21,32,145,4,10,7,3
705,21,10,164,2,4,1,4
776,21,18,144,1,6,7,7
783,21,15,58,4,5,4,9
807,21,7,99,3,5,6,6
931,21,5,148,5,9,7,7
150,22,23,188,3,6,2,10
200,22,29,160,3,10,7,2
245,22,42,145,4,8,10,5
334,22,28,148,2,5,2,9
423,22,42,195,3,6,3,1
556,22,32,186,3,10,2,3
666,22,27,168,5,5,3,6
672,22,12,123,4,8,10,4
894,22,15,157,1,10,4,5
948,22,39,113,5,8,5,7
994,22,7,119,4,1,9,2
331,23,29,171,2,8,8,3
363,23,40,74,4,5,3,3
400,23,19,141,4,7,6,3
565,23,9,134,4,5,7,10
623,23,41,157,1,10,8,3
625,23,32,107,3,9,10,9
740,23,28,128,1,3,8,9
796,23,41,186,2,9,8,1
838,23,43,116,3,3,2,8
878,23,46,149,4,8,8,1
981,23,32,94,1,6,6,5
28,24,41,157,2,9,2,9
35,24,49,212,2,3,7,2
230,24,21,124,5,9,7,7
355,24,25,83,2,7,2,2
391,24,5,164,4,4,2,6
455,24,39,85,5,5,6,2
486,24,21,78,3,9,6,9
606,24,22,195,3,2,9,10
729,24,42,124,4,2,1,7
756,24,23,164,3,1,5,8
827,24,28,206,1,6,5,3
898,24,35,188,5,2,10,3
964,24,45,106,4,9,2,9
45,25,42,173,2,2,5,6
104,25,26,131,3,9,5,2
123,25,25,73,5,5,8,7
226,25,7,125,1,7,9,5
313,25,11,141,1,5,1,2
593,25,49,156,4,6,5,10
654,25,39,166,1,4,8,9
661,25,25,100,1,8,6,1
731,25,35,137,3,6,9,9
851,25,9,87,2,5,6,2
888,25,21,117,5,1,7,2
107,26,9,48,5,9,1,9
212,26,22,94,1,8,9,4
222,26,6,209,2,2,3,2
260,26,41,153,3,3,7,5
404,26,8,120,4,1,6,5
504,26,48,153,5,7,7,4
543,26,10,191,3,10,6,9
576,26,11,81,4,6,3,4
633,26,24,192,4,1,10,7
646,26,35,150,4,3,1,3
711,26,36,203,2,1,7,5
733,26,49,141,4,3,9,1
823,26,28,84,3,3,7,9
881,26,24,223,4,10,1,1
886,26,21,203,5,5,8,9
956,26,28,121,5,1,4,4
995,26,12,203,4,5,9,10
32,27,18,122,1,3,4,7
54,27,44,206,4,7,1,9
359,27,13,72,1,4,9,10
