task_id,arrival_time,execution_time,deadline,priority,resource_1,resource_2,resource_3
51,0,24,83,5,8,9,2
89,0,11,179,2,9,6,7
1,2,21,146,3,1,1,7
48,2,46,172,2,8,10,4
64,3,5,160,4,6,6,2
8,6,33,139,1,3,2,9
94,6,22,48,5,9,10,9
24,7,22,118,2,1,9,8
80,7,43,144,2,1,7,1
25,10,20,98,3,2,7,9
62,10,44,199,1,2,9,9
10,12,33,173,3,4,7,1
19,14,41,171,2,2,7,2
28,15,40,151,1,5,4,2
60,15,12,47,2,9,6,4
30,16,45,101,2,9,10,2
56,16,12,201,4,4,7,7
27,17,50,120,5,9,9,10
44,17,49,209,2,4,9,6
57,17,15,73,4,6,10,7
67,17,31,135,5,4,2,8
85,19,39,201,3,9,6,1
32,20,6,178,5,4,9,2
61,22,24,58,2,7,3,3
31,23,32,86,4,1,6,7
84,24,36,198,3,5,2,5
22,26,23,66,3,6,8,10
35,26,44,203,4,8,2,1
38,26,40,186,5,6,8,3
41,30,13,89,4,10,2,9
23,32,48,155,1,4,8,10
50,32,9,227,1,6,4,4
13,34,28,178,3,1,3,2
36,34,46,169,2,5,7,2
45,34,21,185,2,4,6,3
14,35,16,140,5,5,4,4
55,37,19,175,5,4,10,2
71,37,40,87,3,10,9,1
2,38,25,158,5,6,2,7
40,40,10,169,4,1,10,9
6,41,40,115,1,9,5,10
15,41,47,112,1,8,2,9
43,42,41,177,5,6,8,8
46,42,28,187,2,4,4,5
47,42,19,74,3,4,8,5
82,42,47,230,3,8,5,1
11,44,46,165,5,6,7,4
81,45,8,117,1,3,5,8
91,45,23,182,4,5,10,10
98,46,46,118,1,8,1,6
37,47,34,97,1,6,3,4
78,47,25,195,4,3,5,5
4,48,29,192,5,3,7,2
49,49,39,225,3,10,1,10
74,50,18,128,4,3,7,10
17,52,33,141,3,5,4,9
42,52,34,210,3,3,8,2
92,53,31,144,4,8,3,1
70,54,38,217,3,5,8,5
20,57,43,120,1,4,2,9
88,57,26,150,3,7,9,6
18,58,27,169,3,6,9,2
76,58,36,124,1,6,8,8
39,61,19,137,1,2,6,2
68,62,18,148,4,5,5,7
29,63,25,194,1,2,6,2
5,66,20,217,5,1,1,1
21,66,33,155,2,4,3,10
99,66,35,131,3,8,4,2
34,69,22,224,2,6,2,10
26,70,9,111,4,6,6,5
65,70,34,200,5,3,4,1
7,71,5,106,3,8,6,10
52,73,14,237,2,3,4,2
96,74,17,258,2,6,6,5
69,75,23,148,4,7,7,2
100,75,40,125,1,9,9,9
53,78,42,180,3,9,6,1
63,78,28,137,2,5,8,7
79,80,44,254,5,1,4,6
72,82,40,279,3,8,6,3
77,82,32,277,4,10,1,9
86,83,20,255,3,1,5,5
3,84,28,186,4,4,3,1
93,84,31,229,1,8,7,7
9,85,31,166,1,3,5,7
83,85,36,251,1,4,3,1
87,85,47,257,3,9,4,1
12,86,24,240,5,7,9,1
58,90,43,239,5,3,9,10
33,92,44,220,2,10,7,10
66,92,46,166,4,8,4,3
73,93,27,268,5,4,10,3
95,93,28,289,3,1,7,6
90,94,34,192,5,2,8,5
16,95,39,149,3,10,7,5
97,97,36,291,2,5,5,8
59,98,26,271,5,10,1,5
75,98,5,221,5,10,5,6
54,100,32,254,3,4,9,10
