task_id,arrival_time,execution_time,deadline,priority,resource_1,resource_2,resource_3
94,0,45,101,4,2,4,6
255,0,24,62,3,10,5,5
313,0,23,119,5,6,1,10
322,0,33,135,1,5,1,10
389,0,41,177,4,9,1,2
460,0,13,163,2,6,7,7
600,0,6,144,2,5,8,3
641,0,19,170,1,5,7,10
664,0,27,168,2,1,2,1
697,0,33,116,2,2,8,5
940,0,9,93,2,9,10,1
989,0,38,181,4,1,5,4
1008,0,25,188,4,2,9,6
1094,0,11,70,3,9,8,8
1146,0,34,91,1,6,3,7
1551,0,47,63,4,8,9,7
1679,0,25,123,4,2,1,6
1760,0,18,61,3,7,7,6
1845,0,10,83,1,3,9,6
1846,0,18,182,1,2,8,1
1875,0,15,76,4,9,8,2
2097,0,8,113,2,5,7,10
2179,0,26,165,4,5,9,3
2276,0,7,177,4,6,7,4
2317,0,49,174,4,10,10,1
2537,0,34,64,5,10,9,2
2544,0,37,179,2,6,9,3
2755,0,18,64,2,3,1,2
3053,0,33,46,1,4,5,9
3124,0,34,197,5,5,9,7
3435,0,43,152,2,9,5,6
3444,0,34,130,5,9,6,3
3489,0,15,47,3,6,7,5
3492,0,25,62,2,4,8,6
3608,0,20,194,1,3,5,9
3623,0,9,65,2,4,10,6
3677,0,27,90,1,6,1,1
3739,0,36,51,1,4,5,7
3762,0,26,86,2,4,6,10
3848,0,46,111,5,10,8,4
3884,0,38,121,2,10,5,10
3998,0,19,130,3,8,10,10
4204,0,20,87,3,4,2,8
4393,0,13,118,3,6,7,3
4456,0,29,113,3,3,1,7
4513,0,25,137,1,5,2,1
4601,0,50,72,1,6,7,8
4641,0,12,127,4,10,4,9
4658,0,25,77,3,7,10,4
4781,0,47,187,1,5,9,3
4846,0,12,180,1,6,8,1
4849,0,21,75,1,1,5,7
4900,0,35,85,4,10,10,10
4930,0,38,170,1,10,6,5
5193,0,42,128,5,8,8,1
5210,0,27,77,5,7,2,9
5258,0,22,73,3,2,6,1
